,0
0,-0.038320399820804596
1,-0.036610059440135956
2,-0.034750111401081085
3,-0.03278593719005585
4,-0.030747346580028534
5,-0.028653107583522797
6,-0.026514902710914612
7,-0.02433960698544979
8,-0.02213122881948948
9,-0.019891958683729172
10,-0.0176229365170002
11,-0.015324622392654419
12,-0.012997092679142952
13,-0.010640240274369717
14,-0.008253909647464752
15,-0.005837786011397839
16,-0.0033915997482836246
17,-0.0009150262922048569
18,0.0015922507736831903
19,0.004130552522838116
20,0.006700233556330204
21,0.009301608428359032
22,0.011935119517147541
23,0.014601130038499832
24,0.017299987375736237
25,0.020032130181789398
26,0.02279801480472088
27,0.02559795416891575
28,0.028432372957468033
29,0.03130169212818146
30,0.0342063307762146
31,0.037146661430597305
32,0.040123190730810165
33,0.04313630238175392
34,0.04618646577000618
35,0.04927412047982216
36,0.052399735897779465
37,0.05556375905871391
38,0.05876666307449341
39,0.06200886145234108
40,0.06529083847999573
41,0.06861303746700287
42,0.0719759613275528
43,0.07538002729415894
44,0.07882577180862427
45,0.08231359720230103
46,0.08584414422512054
47,0.08941778540611267
48,0.0930350124835968
49,0.09669628739356995
