,0
0,-0.17791570723056793
1,-0.17730891704559326
2,-0.17662313580513
3,-0.1758652627468109
4,-0.17504917085170746
5,-0.17419014871120453
6,-0.17330114543437958
7,-0.17239326238632202
8,-0.17147473990917206
9,-0.17055146396160126
10,-0.16962774097919464
11,-0.1687062680721283
12,-0.16778890788555145
13,-0.16687677800655365
14,-0.16597068309783936
15,-0.16507089138031006
16,-0.16417764127254486
17,-0.16329090297222137
18,-0.16241073608398438
19,-0.1615370362997055
20,-0.16066981852054596
21,-0.1598089039325714
22,-0.15895414352416992
23,-0.15810567140579224
24,-0.1572633534669876
25,-0.1564270257949829
26,-0.15559659898281097
27,-0.1547721028327942
28,-0.1539534628391266
29,-0.1531405746936798
30,-0.15233339369297028
31,-0.1515318602323532
32,-0.1507360190153122
33,-0.14994575083255768
34,-0.1491609811782837
35,-0.14838166534900665
36,-0.14760775864124298
37,-0.14683927595615387
38,-0.14607608318328857
39,-0.1453181654214859
40,-0.14456556737422943
41,-0.14381812512874603
42,-0.1430758833885193
43,-0.14233867824077606
44,-0.14160652458667755
45,-0.14087937772274017
46,-0.1401572972536087
47,-0.1394401639699936
48,-0.13872785866260529
49,-0.13802047073841095
