,0
0,0.010225885547697544
1,0.00916178710758686
2,0.007933435030281544
3,0.006603689398616552
4,0.0052143605425953865
5,0.003792765084654093
6,0.0023564232978969812
7,0.0009163062204606831
8,-0.0005208294605836272
9,-0.0019509542034938931
10,-0.0033717146143317223
11,-0.004781854804605246
12,-0.006180702243000269
13,-0.007567945402115583
14,-0.008943474851548672
15,-0.01030728779733181
16,-0.011659434996545315
17,-0.01299996953457594
18,-0.014328954741358757
19,-0.01564646326005459
20,-0.01695256680250168
21,-0.018247324973344803
22,-0.019530801102519035
23,-0.020803065970540047
24,-0.022064173594117165
25,-0.02331417426466942
26,-0.024553140625357628
27,-0.02578115276992321
28,-0.026998259127140045
29,-0.028204554691910744
30,-0.029400106519460678
31,-0.03058498166501522
32,-0.031759269535541534
33,-0.03292302414774895
34,-0.03407634422183037
35,-0.035219307988882065
36,-0.036351993680000305
37,-0.03747446462512016
38,-0.038586799055337906
39,-0.03968906030058861
40,-0.04078136011958122
41,-0.04186375066637993
42,-0.04293632134795189
43,-0.043999139219522476
44,-0.045052237808704376
45,-0.04609574005007744
46,-0.047129709273576736
47,-0.04815420135855675
48,-0.049169350415468216
49,-0.05017516389489174
