,0
0,-0.18341611325740814
1,-0.18280382454395294
2,-0.1823195219039917
3,-0.18191009759902954
4,-0.18154343962669373
5,-0.18120037019252777
6,-0.1808701455593109
7,-0.1805468052625656
8,-0.18022751808166504
9,-0.17991089820861816
10,-0.17959663271903992
11,-0.17928475141525269
12,-0.17897546291351318
13,-0.17866887152194977
14,-0.1783653348684311
15,-0.17806506156921387
16,-0.17776800692081451
17,-0.17747431993484497
18,-0.17718400061130524
19,-0.17689701914787292
20,-0.17661353945732117
21,-0.1763332188129425
22,-0.1760561764240265
23,-0.17578238248825073
24,-0.17551171779632568
25,-0.17524422705173492
26,-0.17497968673706055
27,-0.1747182309627533
28,-0.17445968091487885
29,-0.17420411109924316
30,-0.17395132780075073
31,-0.17370136082172394
32,-0.17345426976680756
33,-0.17320992052555084
34,-0.1729682981967926
35,-0.17272937297821045
36,-0.1724930852651596
37,-0.1722594052553177
38,-0.1720283180475235
39,-0.17179982364177704
40,-0.17157386243343353
41,-0.17135044932365417
42,-0.17112943530082703
43,-0.17091085016727448
44,-0.1706947237253189
45,-0.17048101127147675
46,-0.17026963829994202
47,-0.17006061971187592
48,-0.16985389590263367
49,-0.16964945197105408
